frame,t,angle,vx,ax,Ek,Eu,Em
143.0,0.123,-8.8,70.86,677.6,2600.0,-3130.100651320558,-530.100651320558
144.0,0.166,-8.3,97.48,550.0,5010.0,-3134.2839235226133,1875.7160764773867
145.0,0.208,-7.7,123.4,569.8,7860.0,-3138.9830985054755,4721.016901494524
146.0,0.248,-7.0,147.1,477.8,11100.0,-3144.022573558842,7955.977426441158
147.0,0.289,-6.2,158.0,416.4,12600.0,-3149.1970204310255,9450.802979568974
148.0,0.335,-5.3,159.8,309.6,12900.0,-3154.271261147552,9745.728738852447
149.0,0.382,-4.3,183.9,271.2,17100.0,-3158.9801887485587,13941.01981125144
150.0,0.423,-3.2,209.5,202.7,22100.0,-3163.028758166649,18936.97124183335
151.0,0.463,-2.1,216.7,159.4,23600.0,-3165.890770192273,20434.109229807727
152.0,0.504,-1.0,221.4,99.17,24600.0,-3167.5651699571845,21432.434830042817
153.0,0.545,0.2,224.3,-3.191,25200.0,-3168.0366075240117,22031.963392475987
154.0,0.585,1.3,220.8,-148.1,24400.0,-3167.226338398527,21232.773661601474
155.0,0.626,2.5,211.4,-263.1,22400.0,-3164.987402166369,19235.01259783363
156.0,0.667,3.5,200.8,-284.6,20200.0,-3162.042223143306,17037.957776856696
157.0,0.707,4.5,187.8,-345.1,17700.0,-3158.116713456613,14541.883286543387
158.0,0.749,5.5,168.1,-391.8,14200.0,-3153.2120688545674,11046.787931145433
159.0,0.791,6.3,152.4,-466.1,11800.0,-3148.5843699932184,8651.41563000678
160.0,0.831,7.1,128.5,-473.5,8300.0,-3143.331877408618,5156.668122591382
161.0,0.875,7.7,98.82,-519.7,4910.0,-3138.9830985054755,1771.0169014945245
162.0,0.921,8.2,79.34,-516.7,3170.0,-3135.0914310202293,34.908568979770735
163.0,0.964,8.6,58.08,-545.3,1690.0,-3131.803097038549,-1441.803097038549
164.0,1.006,8.8,33.43,-682.2,599.0,-3130.100651320558,-2531.100651320558
165.0,1.05,8.9,0.743,-640.2,15.4,-3129.2348677775244,-3113.8348677775243
166.0,1.093,8.8,-24.52,-641.0,321.0,-3130.100651320558,-2809.100651320558
167.0,1.133,8.7,-49.38,-653.5,1320.0,-3130.956728610153,-1810.9567286101528
168.0,1.174,8.3,-82.81,-729.6,3450.0,-3134.2839235226133,315.71607647738665
169.0,1.215,7.8,-107.6,-622.2,5780.0,-3138.224222294661,2641.775777705339
170.0,1.255,7.2,-133.7,-512.5,8950.0,-3142.6314347003445,5807.3685652996555
171.0,1.296,6.4,-151.4,-436.5,11600.0,-3147.9619569973597,8452.03804300264
172.0,1.337,5.6,-166.4,-404.6,14100.0,-3152.66780691177,10947.33219308823
173.0,1.377,4.7,-186.3,-411.1,17400.0,-3157.2140718136025,14242.785928186397
174.0,1.418,3.7,-200.2,-286.0,20100.0,-3161.335513693177,16938.66448630682
175.0,1.459,2.7,-209.3,-191.7,21900.0,-3164.476840179665,18735.523159820335
176.0,1.499,1.6,-212.8,-91.79,22700.0,-3166.7991329168535,19533.200867083146
177.0,1.541,0.5,-209.3,19.35,21900.0,-3167.9334785928504,18732.06652140715
178.0,1.583,-0.7,-204.8,108.5,21000.0,-3167.8156183035876,17832.184381696414
179.0,1.625,-1.7,-205.5,161.6,21100.0,-3166.6370943945885,17933.362905605412
180.0,1.666,-2.8,-199.9,218.2,20100.0,-3164.206842336118,16935.79315766388
181.0,1.707,-3.8,-183.4,313.3,16900.0,-3160.967456322086,13739.032543677913
182.0,1.749,-4.8,-166.8,360.3,14000.0,-3156.7480670288105,10843.25193297119
183.0,1.792,-5.6,-152.0,441.1,11700.0,-3152.66780691177,8547.33219308823
184.0,1.833,-6.4,-134.9,523.2,9200.0,-3147.9619569973597,6052.03804300264
185.0,1.874,-7.0,-112.4,567.8,6380.0,-3144.022573558842,3235.977426441158
186.0,1.915,-7.5,-84.59,549.5,3640.0,-3140.471648712344,499.5283512876558
187.0,1.959,-7.9,-58.71,571.7,1780.0,-3137.455615084601,-1357.455615084601
188.0,2.003,-8.2,-36.16,590.4,670.3,-3135.0914310202293,-2464.7914310202295
189.0,2.044,-8.3,-11.09,604.5,62.2,-3134.2839235226133,-3072.0839235226135
190.0,2.084,-8.3,13.87,602.0,109.3,-3134.2839235226133,-3024.983923522613
191.0,2.126,-8.2,37.91,571.2,769.0,-3135.0914310202293,-2366.0914310202293
192.0,2.166,-7.9,59.84,515.3,1880.0,-3137.455615084601,-1257.455615084601
193.0,2.212,-7.5,76.79,509.3,3020.0,-3140.471648712344,-120.47164871234418
194.0,2.258,-7.0,102.9,504.6,5380.0,-3144.022573558842,2235.977426441158
195.0,2.298,-6.4,134.8,449.6,9190.0,-3147.9619569973597,6042.03804300264
196.0,2.338,-5.6,149.5,385.8,11400.0,-3152.66780691177,8247.33219308823
197.0,2.379,-4.8,156.7,326.3,12500.0,-3156.7480670288105,9343.25193297119
198.0,2.423,-3.9,164.0,293.3,13600.0,-3160.5895986719165,10439.410401328083
199.0,2.468,-3.0,173.5,185.8,15100.0,-3163.6374170609315,11936.36258293907
200.0,2.513,-2.0,188.3,125.9,17800.0,-3166.0920756530263,14633.907924346973
201.0,2.553,-1.0,209.9,44.54,22100.0,-3167.5651699571845,18932.434830042817
202.0,2.59,0.1,211.6,-18.47,22400.0,-3168.051340318221,19231.94865968178
203.0,2.631,1.1,198.9,-80.19,19800.0,-3167.462046052343,16632.537953947656
204.0,2.672,2.1,194.2,-172.8,18900.0,-3165.890770192273,15734.109229807727
205.0,2.712,3.1,185.0,-257.7,17100.0,-3163.337991363861,13936.66200863614
206.0,2.753,4.0,172.6,-350.9,14900.0,-3160.201941893686,11739.798058106313
207.0,2.794,4.9,156.9,-347.2,12400.0,-3156.27227481793,9243.72772518207
208.0,2.835,5.6,141.8,-411.6,10100.0,-3152.66780691177,6947.33219308823
209.0,2.876,6.3,126.2,-473.8,8000.0,-3148.5843699932184,4851.415630006782
210.0,2.916,6.9,104.1,-552.0,5530.0,-3144.7035210470385,2385.2964789529615
211.0,2.956,7.4,79.71,-519.1,3190.0,-3141.201318174016,48.798681825984204
212.0,2.998,7.7,57.31,-553.7,1680.0,-3138.9830985054755,-1458.9830985054755
213.0,3.04,8.0,34.93,-665.1,727.0,-3136.6772792166075,-2409.6772792166075
214.0,3.081,8.1,3.541,-646.7,82.4,-3135.8892170616255,-3053.4892170616254
215.0,3.121,8.0,-21.02,-541.4,253.6,-3136.6772792166075,-2883.0772792166076
216.0,3.165,7.9,-38.61,-536.6,984.1,-3137.455615084601,-2153.355615084601
217.0,3.211,7.6,-65.49,-551.7,2150.0,-3139.732241405376,-989.732241405376
218.0,3.254,7.2,-92.29,-506.4,4260.0,-3142.6314347003445,1117.3685652996555
219.0,3.295,6.6,-115.2,-473.6,6810.0,-3146.687850945132,3663.312149054868
220.0,3.336,6.0,-137.6,-512.0,9490.0,-3150.3930261972705,6339.606973802729
221.0,3.375,5.2,-157.9,-410.8,12500.0,-3154.7861882712564,9345.213811728743
222.0,3.416,4.4,-171.8,-330.0,14800.0,-3158.5533475652287,11641.446652434772
223.0,3.456,3.5,-178.4,-236.1,15900.0,-3162.042223143306,12737.957776856694
224.0,3.498,2.5,-184.4,-186.4,17000.0,-3164.987402166369,13835.012597833631
225.0,3.54,1.5,-191.5,-47.43,18400.0,-3166.95135339574,15233.04864660426
226.0,3.581,0.5,-195.4,23.82,19100.0,-3167.9334785928504,15932.066521407149
227.0,3.621,-0.5,-191.0,55.9,18300.0,-3167.9334785928504,15132.066521407149
228.0,3.663,-1.5,-185.1,117.4,17200.0,-3166.95135339574,14033.04864660426
229.0,3.705,-2.4,-180.5,202.6,16400.0,-3165.2279647542655,13234.772035245735
230.0,3.746,-3.3,-170.4,281.0,14600.0,-3162.709718411274,11437.290281588726
231.0,3.788,-4.2,-151.0,326.5,11500.0,-3159.39723570637,8340.60276429363
232.0,3.832,-5.0,-135.8,384.6,9290.0,-3155.7866966303063,6134.213303369694
233.0,3.874,-5.7,-124.5,451.2,7840.0,-3152.1137699720643,4687.886230027936
234.0,3.914,-6.3,-105.4,531.0,5660.0,-3148.5843699932184,2511.4156300067816
235.0,3.955,-6.8,-81.0,535.1,3310.0,-3145.3747177989217,164.62528220107833
236.0,3.997,-7.1,-56.04,510.0,1590.0,-3143.331877408618,-1553.3318774086179
237.0,4.041,-7.4,-34.69,522.5,618.0,-3141.201318174016,-2523.201318174016
238.0,4.083,-7.5,-13.08,549.4,92.9,-3140.471648712344,-3047.571648712344
239.0,4.124,-7.5,11.39,544.6,65.0,-3140.471648712344,-3075.471648712344
240.0,4.166,-7.4,32.79,483.4,539.0,-3141.201318174016,-2602.201318174016
241.0,4.209,-7.2,50.46,502.2,1350.0,-3142.6314347003445,-1792.6314347003445
242.0,4.252,-6.8,74.81,548.4,2890.0,-3145.3747177989217,-255.37471779892167
243.0,4.293,-6.4,102.3,526.8,5240.0,-3147.9619569973597,2092.0380430026403
244.0,4.334,-5.8,121.2,421.3,7410.0,-3151.549959723142,4258.450040276858
245.0,4.374,-5.1,136.4,342.1,9430.0,-3155.2913339450947,6274.708666054905
246.0,4.415,-4.4,147.1,304.5,11000.0,-3158.5533475652287,7841.446652434772
247.0,4.457,-3.6,154.6,256.2,12100.0,-3161.6937696640193,8938.30623033598
248.0,4.5,-2.7,165.8,176.6,13900.0,-3164.476840179665,10735.523159820335
249.0,4.541,-1.8,171.7,128.6,14800.0,-3166.465238322543,11633.534761677456
250.0,4.584,-0.9,172.6,55.93,14900.0,-3167.6584734851654,11732.341526514834
251.0,4.627,0.1,178.7,29.48,16000.0,-3168.051340318221,12831.948659681779
252.0,4.668,1.0,185.0,-72.23,17100.0,-3167.5651699571845,13932.434830042816
253.0,4.708,1.9,180.1,-125.9,16200.0,-3166.2835652242197,13033.71643477578
254.0,4.749,2.8,171.7,-253.7,14800.0,-3164.206842336118,11635.793157663882
255.0,4.79,3.7,161.6,-262.7,13100.0,-3161.335513693177,9938.664486306823
256.0,4.83,4.5,144.8,-325.9,10500.0,-3158.116713456613,7341.883286543387
257.0,4.873,5.2,125.3,-385.7,7850.0,-3154.7861882712564,4695.213811728743
258.0,4.917,5.8,105.3,-393.9,5580.0,-3151.549959723142,2428.450040276858
259.0,4.96,6.4,95.33,-411.2,4550.0,-3147.9619569973597,1402.0380430026403
260.0,5.001,6.8,73.09,-496.8,2710.0,-3145.3747177989217,-435.37471779892167
261.0,5.046,7.2,47.81,-573.1,1160.0,-3142.6314347003445,-1982.6314347003445
262.0,5.087,7.4,33.42,-506.5,650.0,-3141.201318174016,-2491.201318174016
263.0,5.123,7.5,10.3,-511.4,179.0,-3140.471648712344,-2961.471648712344
264.0,5.165,7.4,-12.01,-606.5,145.0,-3141.201318174016,-2996.201318174016
265.0,5.214,7.3,-37.78,-541.6,781.0,-3141.921247567693,-2360.921247567693
266.0,5.262,7.0,-65.07,-454.5,2210.0,-3144.022573558842,-934.0225735588419
267.0,5.302,6.6,-85.28,-324.5,3670.0,-3146.687850945132,523.3121490548679
269.0,5.385,6.1,,,5080.0,-3149.799906444541,1930.2000935554588
